[07-29 16:50:44]1,Short Sword, Character ID:3
[07-29 16:50:44]314,Slick Vest, Character ID:2
[07-29 16:50:44]315,Peacock Vest, Character ID:2
[07-29 16:50:44]316,Ringdove Vest, Character ID:2
[07-29 16:50:44]317,Raptor Vest, Character ID:2
[07-29 16:50:44]335,Cloth Shirt, Character ID:2
[07-29 16:50:44]336,Tough Vest, Character ID:2
[07-29 16:50:44]337,Explorer Vest, Character ID:2
[07-29 16:50:44]338,Adventure Vest, Character ID:2
[07-29 16:50:44]339,Helmsman Vest, Character ID:2
[07-29 16:50:44]340,Oarsman Vest, Character ID:2
[07-29 16:50:44]341,Deckman Vest, Character ID:2
[07-29 16:50:44]342,Mastman Vest, Character ID:2
[07-29 16:50:44]343,Hurricane Vest, Character ID:2
[07-29 16:50:44]344,Whirlpool Vest, Character ID:2
[07-29 16:50:44]345,Wind Vest, Character ID:2
[07-29 16:50:44]350,Crabby Costume, Character ID:1
[07-29 16:50:44]351,Rooroo Costume, Character ID:1
[07-29 16:50:44]352,Playful Racoon Costume, Character ID:1
[07-29 16:50:44]353,Duckling Costume, Character ID:1
[07-29 16:50:44]354,Big Crab Costume, Character ID:1
[07-29 16:50:44]355,Lobster Costume, Character ID:1
[07-29 16:50:44]356,Ducky Costume, Character ID:1
[07-29 16:50:44]357,Prawn Costume, Character ID:1
[07-29 16:50:44]358,Pincer Costume, Character ID:1
[07-29 16:50:44]359,Sheepy Costume, Character ID:1
[07-29 16:50:44]360,Meowy Costume, Character ID:1
[07-29 16:50:44]361,Owl Costume, Character ID:1
[07-29 16:50:44]362,Hopperoo Costume, Character ID:1
[07-29 16:50:44]363,Clever Otter Costume, Character ID:1
[07-29 16:50:44]364,Lucky Otter Costume, Character ID:1
[07-29 16:50:44]365,Medic Robe, Character ID:1
[07-29 16:50:44]366,Foster Robe, Character ID:1
[07-29 16:50:44]367,Travel Robe, Character ID:1
[07-29 16:50:44]368,Nurse Robe, Character ID:1
[07-29 16:50:44]369,Garcon Robe, Character ID:1
[07-29 16:50:44]370,Holy Robe, Character ID:1
[07-29 16:50:44]371,Follower Robe, Character ID:1
[07-29 16:50:44]372,Attendant Robe, Character ID:1
[07-29 16:50:44]373,Scholar Robe, Character ID:1
[07-29 16:50:44]374,Emergency Robe, Character ID:1
[07-29 16:50:44]375,Passage Robe, Character ID:1
[07-29 16:50:44]376,Healer Robe, Character ID:1
[07-29 16:50:44]377,Protector Robe, Character ID:1
[07-29 16:50:44]378,Piety Robe, Character ID:1
[07-29 16:50:44]379,Blessed Robe, Character ID:1
[07-29 16:50:44]380,Mousey Costume, Character ID:1
[07-29 16:50:44]381,Kitty Costume, Character ID:1
[07-29 16:50:44]382,Loopy Bunny Costume, Character ID:1
[07-29 16:50:44]383,Goaty Costume, Character ID:1
[07-29 16:50:44]384,Deer Costume, Character ID:1
[07-29 16:50:44]385,Otter Costume, Character ID:1
[07-29 16:50:44]386,Racoon Costume, Character ID:1
[07-29 16:50:44]388,Happy Bunny Costume, Character ID:1
[07-29 16:50:44]389,Night Owl Costume, Character ID:1
[07-29 16:50:44]390,Kangaroo Costume, Character ID:1
[07-29 16:50:44]391,Joyful Bunny Costume, Character ID:1
[07-29 16:50:44]392,Bunny Baby Costume, Character ID:1
[07-29 16:50:44]393,Lucky Bunny Costume, Character ID:1
[07-29 16:50:44]394,Heavenly Vest, Character ID:1
[07-29 16:50:44]395,Armor of Night, Character ID:2
[07-29 16:50:44]396,Armor of Secrets, Character ID:2
[07-29 16:50:44]397,Armor of Hercules, Character ID:1
[07-29 16:50:44]398,Armor of Olympus, Character ID:1
[07-29 16:50:44]399,Vest of Marksmanship, Character ID:2
[07-29 16:50:44]400,Vest of Apollo, Character ID:2
[07-29 16:50:44]401,Robe of the Wise, Character ID:1
[07-29 16:50:44]402,Robe of the Sage, Character ID:1
[07-29 16:50:44]403,Happy Panda Costume, Character ID:1
[07-29 16:50:44]404,Mystic Panda Costume, Character ID:1
[07-29 16:50:44]405,Fairy Robe, Character ID:1
[07-29 16:50:44]406,Faerie Robe, Character ID:1
[07-29 16:50:44]407,Gold Fish Costume, Character ID:1
[07-29 16:50:44]408,Fish Fairy Costume, Character ID:1
[07-29 16:50:44]409,Tidal Robe, Character ID:2
[07-29 16:50:44]410,Bear Costume, Character ID:1
[07-29 16:50:44]411,Tsunami Robe, Character ID:2
[07-29 16:50:44]412,Dragon Costume, Character ID:1
[07-29 16:50:44]413,Dragon Lord Costume, Character ID:1
[07-29 16:50:44]466,Husk Gloves, Character ID:3
[07-29 16:50:44]467,Thick Gloves, Character ID:3
[07-29 16:50:44]468,Leather Gloves, Character ID:3
[07-29 16:50:44]469,Rhino Hide Gloves, Character ID:3
[07-29 16:50:44]470,Tiger Hide Gloves, Character ID:3
[07-29 16:50:44]471,Gauntlets, Character ID:3
[07-29 16:50:44]472,Soft Leather Gloves, Character ID:3
[07-29 16:50:44]473,Heavy Leather Gloves, Character ID:3
[07-29 16:50:44]474,Strong Leather Gloves, Character ID:3
[07-29 16:50:44]475,Mithril Gauntlets, Character ID:3
[07-29 16:50:44]476,Chain Gauntlets, Character ID:3
[07-29 16:50:44]477,Strong Gauntlets, Character ID:3
[07-29 16:50:44]478,Light Gauntlets, Character ID:3
[07-29 16:50:44]479,Silver Gauntlets, Character ID:3
[07-29 16:50:44]480,Ceremonial Gauntlets, Character ID:3
[07-29 16:50:44]481,Coarse Gloves, Character ID:2
[07-29 16:50:44]482,Canvas Gloves, Character ID:2
[07-29 16:50:44]483,Exquisite Gloves, Character ID:2
[07-29 16:50:44]484,Leather Gloves, Character ID:2
[07-29 16:50:44]485,Warrior Gloves, Character ID:2
[07-29 16:50:44]486,Feather Gloves, Character ID:2
[07-29 16:50:44]487,Safari Gloves, Character ID:2
[07-29 16:50:44]488,Emerald Gloves, Character ID:2
[07-29 16:50:44]489,Hunter Gloves, Character ID:2
[07-29 16:50:44]490,Slick Gloves, Character ID:2
[07-29 16:50:44]491,Peacock Gloves, Character ID:2
[07-29 16:50:44]492,Ringdove Gloves, Character ID:2
[07-29 16:50:44]493,Raptor Gloves, Character ID:2
[07-29 16:50:44]511,Cloth Gloves, Character ID:2
[07-29 16:50:44]512,Tough Gloves, Character ID:2
[07-29 16:50:44]513,Explorer Gloves, Character ID:2
[07-29 16:50:44]514,Adventure Gloves, Character ID:2
[07-29 16:50:44]515,Helmsman Gloves, Character ID:2
[07-29 16:50:44]516,Oarsman Gloves, Character ID:2
[07-29 16:50:44]517,Deckman Gloves, Character ID:2
[07-29 16:50:44]518,Mastman Gloves, Character ID:2
[07-29 16:50:44]519,Hurricane Gloves, Character ID:2
[07-29 16:50:44]520,Whirlpool Gloves, Character ID:2
[07-29 16:50:44]521,Wind Gloves, Character ID:2
[07-29 16:50:44]526,Crabby Gloves, Character ID:1
[07-29 16:50:44]527,Rooroo Muffs, Character ID:1
[07-29 16:50:44]528,Playful Racoon Muffs, Character ID:1
[07-29 16:50:44]529,Duckling Muffs, Character ID:1
[07-29 16:50:44]530,Big Crab Muffs, Character ID:1
[07-29 16:50:44]531,Lobster Muffs, Character ID:1
[07-29 16:50:44]532,Ducky Muffs, Character ID:1
[07-29 16:50:44]533,Prawn Muffs, Character ID:1
[07-29 16:50:44]534,Pincer Muffs, Character ID:1
[07-29 16:50:44]535,Sheepy Muffs, Character ID:1
[07-29 16:50:44]536,Meowy Muffs, Character ID:1
[07-29 16:50:44]537,Owl Muffs, Character ID:1
[07-29 16:50:44]538,Hopperoo Muffs, Character ID:1
[07-29 16:50:44]539,Clever Otter Muffs, Character ID:1
[07-29 16:50:44]540,Lucky Otter Muffs, Character ID:1
[07-29 16:50:44]541,Medic Gloves, Character ID:1
[07-29 16:50:44]542,Foster Gloves, Character ID:1
[07-29 16:50:44]543,Travel Gloves, Character ID:1
[07-29 16:50:44]544,Nurse Gloves, Character ID:1
[07-29 16:50:44]545,Garcon Gloves, Character ID:1
[07-29 16:50:44]546,Holy Gloves, Character ID:1
[07-29 16:50:44]547,Follower Gloves, Character ID:1
[07-29 16:50:44]548,Attendant Gloves, Character ID:1
[07-29 16:50:44]549,Scholar Gloves, Character ID:1
[07-29 16:50:44]550,Emergency Gloves, Character ID:1
[07-29 16:50:44]551,Passage Gloves, Character ID:1
[07-29 16:50:44]552,Healer Gloves, Character ID:1
[07-29 16:50:44]553,Protector Gloves, Character ID:1
[07-29 16:50:44]554,Piety Gloves, Character ID:1
[07-29 16:50:44]555,Blessed Gloves, Character ID:1
[07-29 16:50:44]556,Mousey Muffs, Character ID:1
[07-29 16:50:44]557,Kitty Muffs, Character ID:1
[07-29 16:50:44]558,Loopy Bunny Muffs, Character ID:1
[07-29 16:50:44]559,Goaty Muffs, Character ID:1
[07-29 16:50:44]560,Deer Muffs, Character ID:1
[07-29 16:50:44]561,Otter Muffs, Character ID:1
[07-29 16:50:44]562,Racoon Muffs, Character ID:1
[07-29 16:50:44]564,Happy Bunny Muffs, Character ID:1
[07-29 16:50:44]565,Night Owl Muffs, Character ID:1
[07-29 16:50:44]566,Kangaroo Muffs, Character ID:1
[07-29 16:50:44]567,Joyful Bunny Muffs, Character ID:1
[07-29 16:50:44]568,Bunny Baby Muffs, Character ID:1
[07-29 16:50:44]569,Lucky Bunny Muffs, Character ID:1
[07-29 16:50:44]570,Heavenly Gloves, Character ID:1
[07-29 16:50:44]586,Bear Gloves, Character ID:1
[07-29 16:50:44]587,Gloves of Night, Character ID:2
[07-29 16:50:44]588,Gloves of Secrets, Character ID:2
[07-29 16:50:44]589,Gloves of Marksmanship, Character ID:2
[07-29 16:50:44]590,Gloves of Apollo, Character ID:2
[07-29 16:50:44]591,Gloves of the Wise, Character ID:1
[07-29 16:50:44]592,Gloves of the Sage, Character ID:1
[07-29 16:50:44]593,Happy Panda Gloves, Character ID:1
[07-29 16:50:44]594,Mystic Panda Gloves, Character ID:1
[07-29 16:50:44]595,Fairy Gloves, Character ID:1
[07-29 16:50:44]596,Faerie Gloves, Character ID:1
[07-29 16:50:44]597,Gold Fish Muffs, Character ID:1
[07-29 16:50:44]598,Fish Fairy Muffs, Character ID:1
[07-29 16:50:44]599,Tidal Gloves, Character ID:2
[07-29 16:50:44]600,Tsunami Gloves, Character ID:2
[07-29 16:50:44]601,Dragon Muffs, Character ID:1
[07-29 16:50:44]602,Dragon Lord Muffs, Character ID:1
[07-29 16:50:44]603,Gauntlets of Hercules, Character ID:1
[07-29 16:50:44]604,Gauntlets of Olympus, Character ID:1
[07-29 16:50:44]635,Lv 1 Strike Coral, Character ID:2
[07-29 16:50:44]636,Lv 2 Strike Coral, Character ID:2
[07-29 16:50:44]637,Lv 3 Strike Coral, Character ID:2
[07-29 16:50:44]638,Lv 4 Strike Coral, Character ID:2
[07-29 16:50:44]639,Lv 5 Strike Coral, Character ID:2
[07-29 16:50:44]642,Husk Boots, Character ID:3
[07-29 16:50:44]643,Thick Boots, Character ID:3
[07-29 16:50:44]644,Leather Boots, Character ID:3
[07-29 16:50:44]645,Rhino Hide Boots, Character ID:3
[07-29 16:50:44]646,Tiger Hide Boots, Character ID:3
[07-29 16:50:44]647,Greaves, Character ID:3
[07-29 16:50:44]648,Soft Leather Boots, Character ID:3
[07-29 16:50:44]649,Heavy Leather Boots, Character ID:3
[07-29 16:50:44]650,Strong Leather Boots, Character ID:3
[07-29 16:50:44]651,Mithril Greaves, Character ID:3
[07-29 16:50:44]652,Chain Greaves, Character ID:3
[07-29 16:50:44]653,Strong Greaves, Character ID:3
[07-29 16:50:44]654,Light Greaves, Character ID:3
[07-29 16:50:44]655,Silver Greaves, Character ID:3
[07-29 16:50:44]656,Ceremonial Greaves, Character ID:3
[07-29 16:50:44]657,Coarse Boots, Character ID:2
[07-29 16:50:44]658,Canvas Boots, Character ID:2
[07-29 16:50:44]659,Exquisite Boots, Character ID:2
[07-29 16:50:44]660,Leather Boots, Character ID:2
[07-29 16:50:44]661,Warrior Boots, Character ID:2
[07-29 16:50:44]662,Feather Boots, Character ID:2
[07-29 16:50:44]663,Safari Boots, Character ID:2
[07-29 16:50:44]664,Emerald Boots, Character ID:2
[07-29 16:50:44]665,Hunter Boots, Character ID:2
[07-29 16:50:44]666,Slick Boots, Character ID:2
[07-29 16:50:44]667,Peacock Boots, Character ID:2
[07-29 16:50:44]668,Ringdove Boots, Character ID:2
[07-29 16:50:44]669,Raptor Boots, Character ID:2
[07-29 16:50:44]687,Cloth Boots, Character ID:2
[07-29 16:50:44]688,Tough Boots, Character ID:2
[07-29 16:50:44]689,Explorer Boots, Character ID:2
[07-29 16:50:44]690,Adventure Boots, Character ID:2
[07-29 16:50:44]691,Helmsman Boots, Character ID:2
[07-29 16:50:44]692,Oarsman Boots, Character ID:2
[07-29 16:50:44]693,Deckman Boots, Character ID:2
[07-29 16:50:44]694,Mastman Boots, Character ID:2
[07-29 16:50:44]695,Hurricane Boots, Character ID:2
[07-29 16:50:44]696,Whirlpool Boots, Character ID:2
[07-29 16:50:44]697,Wind Boots, Character ID:2
[07-29 16:50:44]702,Crabby Shoes, Character ID:1
[07-29 16:50:44]703,Rooroo Shoes, Character ID:1
[07-29 16:50:44]704,Playful Racoon Shoes, Character ID:1
[07-29 16:50:44]705,Duckling Shoes, Character ID:1
[07-29 16:50:44]706,Big Crab Shoes, Character ID:1
[07-29 16:50:44]707,Lobster Shoes, Character ID:1
[07-29 16:50:44]708,Ducky Shoes, Character ID:1
[07-29 16:50:44]709,Prawn Shoes, Character ID:1
[07-29 16:50:44]710,Pincer Shoes, Character ID:1
[07-29 16:50:44]711,Sheepy Shoes, Character ID:1
[07-29 16:50:44]712,Meowy Shoes, Character ID:1
[07-29 16:50:44]713,Owl Shoes, Character ID:1
[07-29 16:50:44]714,Hopperoo Shoes, Character ID:1
[07-29 16:50:44]715,Clever Otter Shoes, Character ID:1
[07-29 16:50:44]716,Lucky Otter Shoes, Character ID:1
[07-29 16:50:44]717,Medic Boots, Character ID:1
[07-29 16:50:44]718,Foster Boots, Character ID:1
[07-29 16:50:44]719,Travel Boots, Character ID:1
[07-29 16:50:44]720,Nurse Boots, Character ID:1
[07-29 16:50:44]721,Garcon Boots, Character ID:1
[07-29 16:50:44]722,Holy Boots, Character ID:1
[07-29 16:50:44]723,Follower Boots, Character ID:1
[07-29 16:50:44]724,Attendant Boots, Character ID:1
[07-29 16:50:44]725,Scholar Boots, Character ID:1
[07-29 16:50:44]726,Emergency Boots, Character ID:1
[07-29 16:50:44]727,Passage Boots, Character ID:1
[07-29 16:50:44]728,Healer Boots, Character ID:1
[07-29 16:50:44]729,Protector Boots, Character ID:1
[07-29 16:50:44]730,Piety Boots, Character ID:1
[07-29 16:50:44]731,Blessed Boots, Character ID:1
[07-29 16:50:44]732,Mousey Shoes, Character ID:1
[07-29 16:50:44]733,Kitty Shoes, Character ID:1
[07-29 16:50:44]734,Loopy Bunny Shoes, Character ID:1
[07-29 16:50:44]735,Goaty Shoes, Character ID:1
[07-29 16:50:44]736,Deer Shoes, Character ID:1
[07-29 16:50:44]737,Otter Shoes, Character ID:1
[07-29 16:50:44]738,Racoon Shoes, Character ID:1
[07-29 16:50:44]740,Happy Bunny Shoes, Character ID:1
[07-29 16:50:44]741,Night Owl Shoes, Character ID:1
[07-29 16:50:44]742,Kangaroo Shoes, Character ID:1
[07-29 16:50:44]743,Joyful Bunny Shoes, Character ID:1
[07-29 16:50:44]744,Bunny Baby Shoes, Character ID:1
[07-29 16:50:44]745,Lucky Bunny Shoes, Character ID:1
[07-29 16:50:44]746,Heavenly Shoes, Character ID:1
[07-29 16:50:44]747,Boots of Night, Character ID:2
[07-29 16:50:44]748,Boots of Secrets, Character ID:2
[07-29 16:50:44]749,Boots of Marksmanship, Character ID:2
[07-29 16:50:44]750,Boots of Apollo, Character ID:2
[07-29 16:50:44]751,Boots of the Wise, Character ID:1
[07-29 16:50:44]752,Boots of the Sage, Character ID:1
[07-29 16:50:44]753,Happy Panda Shoes, Character ID:1
[07-29 16:50:44]754,Mystic Panda Shoes, Character ID:1
[07-29 16:50:44]755,Fairy Shoes, Character ID:1
[07-29 16:50:44]756,Faerie Shoes, Character ID:1
[07-29 16:50:44]757,Gold Fish Shoes, Character ID:1
[07-29 16:50:44]758,Fish Fairy Shoes, Character ID:1
[07-29 16:50:44]759,Tidal Shoes, Character ID:2
[07-29 16:50:44]760,Tsunami Shoes, Character ID:2
[07-29 16:50:44]761,Dragon Shoes, Character ID:1
[07-29 16:50:44]762,Bear Shoes, Character ID:1
[07-29 16:50:44]763,Armor of Revenant, Character ID:3
[07-29 16:50:44]764,Tattoo of the Cursed Warrior, Character ID:3
[07-29 16:50:44]765,Tattoo of Evanescence, Character ID:3
[07-29 16:50:44]766,Tattoo of Enigma, Character ID:3
[07-29 16:50:44]767,Platemail of the Cursed Soul, Character ID:3
[07-29 16:50:44]768,Armor of Evanescence, Character ID:3
[07-29 16:50:44]769,Armor of Enigma, Character ID:3
[07-29 16:50:44]770,Sword of Grief, Character ID:3
[07-29 16:50:44]771,Greatsword of Incantation, Character ID:3
[07-29 16:50:44]772,Roar of Evanescence, Character ID:3
[07-29 16:50:44]773,Judgment of Enigma, Character ID:3
[07-29 16:50:44]774,Blade of Incantation, Character ID:3
[07-29 16:50:44]775,Dance of Evanescence, Character ID:3
[07-29 16:50:44]776,Blade of Enigma, Character ID:3
[07-29 16:50:44]777,Robe of Death, Character ID:2
[07-29 16:50:44]778,Corset of Incantation, Character ID:2
[07-29 16:50:44]779,Coat of Evanescence, Character ID:2
[07-29 16:50:44]780,Mantle of Enigma, Character ID:2
[07-29 16:50:44]781,Touch of Death, Character ID:2
[07-29 16:50:44]782,Kiss of the Cursed, Character ID:2
[07-29 16:50:44]783,Bellow of Evanescence, Character ID:2
[07-29 16:50:44]784,Rifle of Enigma, Character ID:2
[07-29 16:50:44]785,Staff of the Avenger, Character ID:1
[07-29 16:50:44]786,Staff of Incantation, Character ID:1
[07-29 16:50:44]787,Staff of Evanescence, Character ID:1
[07-29 16:50:44]788,Staff of Enigma, Character ID:1
[07-29 16:50:44]789,Robe of the Venom Witch, Character ID:1
[07-29 16:50:44]790,Coat of Invocation, Character ID:1
[07-29 16:50:44]791,Robe of the Arcane, Character ID:1
[07-29 16:50:44]792,Robe of Enigma, Character ID:1
[07-29 16:50:44]793,Staff of Abraxas, Character ID:1
[07-29 16:50:44]794,Staff of Mirage, Character ID:1
[07-29 16:50:44]795,Staff of the Sphinx, Character ID:1
[07-29 16:50:44]796,Robe of Abraxas, Character ID:1
[07-29 16:50:44]797,Robe of Malediction, Character ID:1
[07-29 16:50:44]798,Robe of the Sphinx, Character ID:1
[07-29 16:50:44]799,Tooth of Specter, Character ID:2
[07-29 16:50:44]800,Tooth of the Cursed, Character ID:2
[07-29 16:50:44]801,Tooth of Evanescence, Character ID:2
[07-29 16:50:44]802,Kris of the Sphinx, Character ID:2
[07-29 16:50:44]803,Mantle of the Naga, Character ID:2
[07-29 16:50:44]804,Mantle of the Cursed Flame, Character ID:2
[07-29 16:50:44]805,Cloak of Evanescence, Character ID:2
[07-29 16:50:44]806,Mantle of the Sphinx, Character ID:2
[07-29 16:50:44]807,Gauntlets of Evanescence, Character ID:3
[07-29 16:50:44]808,Greaves of Evanescence, Character ID:3
[07-29 16:50:44]809,Gloves of Evanescence, Character ID:2
[07-29 16:50:44]810,Shoes of Evanescence, Character ID:2
[07-29 16:50:44]811,Gloves of Malediction, Character ID:1
[07-29 16:50:44]812,Gloves of the Arcane, Character ID:1
[07-29 16:50:44]813,Boots of Malediction, Character ID:1
[07-29 16:50:44]814,Boots of the of the Arcane, Character ID:1
[07-29 16:50:44]815,Heavy Gloves of Evanescence, Character ID:2
[07-29 16:50:44]824,Dragon Lord Shoes, Character ID:1
[07-29 16:50:44]828,Kylin Cap, Character ID:1
[07-29 16:50:44]829,Greaves of Hercules, Character ID:1
[07-29 16:50:44]830,Greaves of Olympus, Character ID:1
[07-29 16:50:44]843,Ami Kylin Cap, Character ID:1
[07-29 16:50:44]848,Black Dragon Helm, Character ID:1
[07-29 16:50:44]877,Boots of Evanescence, Character ID:2
[07-29 16:50:44]1115,Grandiose Helm, Character ID:2
[07-29 16:50:44]1116,Grandiose Armor, Character ID:2
[07-29 16:50:44]1117,Grandiose Gauntlets, Character ID:2
[07-29 16:50:44]1118,Grandiose Boots, Character ID:2
[07-29 16:50:44]1124,Chaos Framestone, Character ID:1
[07-29 16:50:44]1125,Chaos Clawstone, Character ID:1
[07-29 16:50:44]1126,Chaos Pawstone, Character ID:1
[07-29 16:50:44]1127,Chaos Crownstone, Character ID:1
[07-29 16:50:44]1370,Two-Edged Sword, Character ID:3
[07-29 16:50:44]1371,Fearsome Sword, Character ID:3
[07-29 16:50:44]1372,Righteous Sword, Character ID:3
[07-29 16:50:44]1373,Cavalier Saber, Character ID:3
[07-29 16:50:44]1374,Grey Sword of Darkan, Character ID:3
[07-29 16:50:44]1375,Primal Axe of Rage, Character ID:3
[07-29 16:50:44]1376,Vampiric Bat King, Character ID:3
